date,cases
2021-05-01,152687904
2021-05-02,153375175
2021-05-03,154065632
2021-05-04,154850588
2021-05-05,155692589
2021-05-06,156565435
2021-05-07,157400261
2021-05-08,158188559
2021-05-09,158837968
2021-05-10,159463612
2021-05-11,160189411
2021-05-12,160956898
2021-05-13,161691597
2021-05-14,162401162
2021-05-15,163032774
2021-05-16,163579396
2021-05-17,164122938
2021-05-18,164742576
2021-05-19,165414621
2021-05-20,165696927
2021-05-21,166323402
2021-05-22,166895763
2021-05-23,167377386
2021-05-24,167828464
2021-05-25,168361871
2021-05-26,168930299
2021-05-27,169477196
2021-05-28,169982707
2021-05-29,170463127
2021-05-30,170853074
2021-05-31,171240130
2021-06-01,171700134
2021-06-02,172187762
2021-06-03,172668261
2021-06-04,173093152
2021-06-05,173489803
2021-06-06,173812784
2021-06-07,174134551
2021-06-08,174504668
2021-06-09,174922960
2021-06-10,175376464
2021-06-11,175798501
2021-06-12,176166881
2021-06-13,176469682
2021-06-14,176778984
2021-06-15,177153741
2021-06-16,177542916
2021-06-17,177938911
2021-06-18,178342418
2021-06-19,178689716
2021-06-20,178994480
2021-06-21,179291135
2021-06-22,179701349
2021-06-23,180097972
2021-06-24,180507231
2021-06-25,180924899
2021-06-26,181287796
2021-06-27,181599032
2021-06-28,181932050
2021-06-29,182313258
2021-06-30,182712726
2021-07-01,183148268
2021-07-02,183590610
2021-07-03,183964437
2021-07-04,184292181
2021-07-05,184670098
2021-07-06,185120629
2021-07-07,185585871
2021-07-08,186067750
2021-07-09,186580986
2021-07-10,187002099
2021-07-11,187371991
2021-07-12,187806155
2021-07-13,188331814
2021-07-14,188869796
2021-07-15,189446223
2021-07-16,190042161
2021-07-17,190531011
2021-07-18,190951220
2021-07-19,191440687
2021-07-20,191973106
2021-07-21,192529214
2021-07-22,193094403
2021-07-23,193822543
2021-07-24,194254462
2021-07-25,194700076
2021-07-26,195240703
2021-07-27,195847033
2021-07-28,196497116
2021-07-29,197139985
2021-07-30,197872339
2021-07-31,198389684
2021-08-01,198872752
2021-08-02,199443855
2021-08-03,200078130
2021-08-04,200758588
2021-08-05,201444210
2021-08-06,202263736
2021-08-07,202825005
2021-08-08,203292722
2021-08-09,203911805
2021-08-10,204557617
2021-08-11,205288310
2021-08-12,205994052
2021-08-13,206795847
2021-08-14,207348758
2021-08-15,207815449
2021-08-16,208479793
2021-08-17,209162480
2021-08-18,209898123
2021-08-19,210609857
2021-08-20,211395070
2021-08-21,211954124
2021-08-22,212402204
2021-08-23,213086398
2021-08-24,213763171
2021-08-25,214500582
2021-08-26,215237031
2021-08-27,215988154
2021-08-28,216545334
2021-08-29,216992164
2021-08-30,217664015
2021-08-31,218284677
2021-09-01,219003757
2021-09-02,219680532
2021-09-03,220404105
2021-09-04,220900816
2021-09-05,221347788
2021-09-06,221825561
2021-09-07,222482051
2021-09-08,223119762
2021-09-09,223759907
2021-09-10,224418618
2021-09-11,224887140
2021-09-12,225258543
2021-09-13,225836445
2021-09-14,226386274
2021-09-15,226953125
2021-09-16,227540479
2021-09-17,228163698
2021-09-18,228687569
2021-09-19,229050966
2021-09-20,229581157
2021-09-21,230069837
2021-09-22,230604815
2021-09-23,231152445
2021-09-24,231701691
2021-09-25,232075693
2021-09-26,232431512
2021-09-27,232914281
2021-09-28,233365258
2021-09-29,233856235
2021-09-30,234346132
2021-10-01,234868134
2021-10-02,235218776
2021-10-03,235527819
2021-10-04,235974883
2021-10-05,236397732
2021-10-06,236904785
2021-10-07,237366619
2021-10-08,237842039
2021-10-09,238182243
2021-10-10,238498696
2021-10-11,238886684
2021-10-12,239324892
2021-10-13,239781314
2021-10-14,240234710
2021-10-15,240692696
2021-10-16,241034054
2021-10-17,241347355
2021-10-18,241775141
2021-10-19,242206709
2021-10-20,242683018
2021-10-21,243145068
2021-10-22,243637892
2021-10-23,244008150
2021-10-24,244317353
2021-10-25,244769753
2021-10-26,245196224
2021-10-27,245710221
2021-10-28,246193247
2021-10-29,246687330
2021-10-30,247061943
2021-10-31,247410790
2021-11-01,247868435
2021-11-02,248272884
2021-11-03,248797676
2021-11-04,249315133
2021-11-05,249839415
2021-11-06,250245164
2021-11-07,250585863
2021-11-08,251110911
2021-11-09,251580325
2021-11-10,252153854
2021-11-11,252674737
2021-11-12,253274490
2021-11-13,253670214
2021-11-14,254018493
2021-11-15,254620079
2021-11-16,255126904
2021-11-17,255742113
2021-11-18,256363770
2021-11-19,256978407
2021-11-20,257416423
2021-11-21,257796215
2021-11-22,258500870
2021-11-23,259093463
2021-11-24,259751368
2021-11-25,260348589
2021-11-26,260962280
2021-11-27,261381085
2021-11-28,261770875
2021-11-29,262513214
2021-11-30,263113681
2021-12-01,263816145
2021-12-02,264523382
2021-12-03,265254220
2021-12-04,265726430
2021-12-05,266146231
2021-12-06,266849953
2021-12-07,267489200
2021-12-08,268200544
2021-12-09,268898928
2021-12-10,269592462
2021-12-11,270059366
2021-12-12,270485916
2021-12-13,271179799
2021-12-14,271816596
2021-12-15,272556770
2021-12-16,273300997
2021-12-17,274068563
2021-12-18,274598505
2021-12-19,275083461
2021-12-20,275893527
2021-12-21,276652188
2021-12-22,277566671
